Animal_Id,Symptom
A3,Coughing
A3,Fever
A3,Labored Breathing
A3,Nasal Discharge
A10,Decreased Milk Yield
A10,Fever
A10,Lethargy
A15,Decreased Milk Yield
A15,Fever
A15,Lethargy
A15,Loss of Appetite
A21,Decreased Milk Yield
A21,Fever
A21,Lethargy
A21,Loss of Appetite
A25,Decreased Milk Yield
A25,Fever
A25,Lethargy
A25,Nasal Discharge
A31,Decreased Milk Yield
A31,Fever
A31,Lethargy
A31,Nasal Discharge
A35,Decreased Milk Yield
A35,Diarrhea
A35,Lethargy
A35,Loss of Appetite
A39,Decreased Milk Yield
A39,Diarrhea
A39,Lethargy
A39,Loss of Appetite
A45,Coughing
A45,Fever
A45,Labored Breathing
A45,Nasal Discharge
A49,Dehydration
A49,Diarrhea
A49,Lethargy
A49,Loss of Appetite
A53,Coughing
A53,Decreased Milk Yield
A53,Fever
A53,Lethargy
A57,Dehydration
A57,Diarrhea
A57,Lethargy
A57,Loss of Appetite
A61,Diarrhea
A61,Fever
A61,Lethargy
A61,Loss of Appetite
A65,Dehydration
A65,Diarrhea
A65,Lethargy
A65,Loss of Appetite
A69,Decreased Milk Yield
A69,Fever
A69,Lethargy
A69,Nasal Discharge
A75,Coughing
A75,Labored Breathing
A75,Lethargy
A75,Nasal Discharge
A79,Decreased Milk Yield
A79,Lethargy
A79,Loss of Appetite
A79,Weight Loss
A83,Dehydration
A83,Diarrhea
A83,Lethargy
A83,Loss of Appetite
A87,Coughing
A87,Fever
A87,Lethargy
A87,Nasal Discharge
A91,Decreased Milk Yield
A91,Lethargy
A91,Loss of Appetite
A91,Weight Loss
A95,Dehydration
A95,Diarrhea
A95,Lethargy
A95,Loss of Appetite
A99,Coughing
A99,Fever
A99,Labored Breathing
A99,Nasal Discharge
A105,Decreased Milk Yield
A105,Lethargy
A105,Loss of Appetite
A105,Weight Loss
A107,Coughing
A107,Fever
A107,Labored Breathing
A107,Nasal Discharge
A108,Dehydration
A108,Diarrhea
A108,Lethargy
A108,Loss of Appetite
A113,Coughing
A113,Labored Breathing
A113,Lethargy
A113,Nasal Discharge
A115,Lethargy
A115,Loss of Appetite
A115,Reduced Wool Production
A115,Weight Loss
A116,Fever
A116,Lethargy
A116,Loss of Appetite
A116,Weight Loss
A121,Dehydration
A121,Diarrhea
A121,Lethargy
A121,Loss of Appetite
A123,Coughing
A123,Labored Breathing
A123,Loss of Appetite
A123,Nasal Discharge
A124,Dehydration
A124,Diarrhea
A124,Lethargy
A124,Loss of Appetite
A128,Coughing
A128,Fever
A128,Labored Breathing
A128,Nasal Discharge
A130,Lethargy
A130,Loss of Appetite
A130,Reduced Wool Production
A130,Weight Loss
A131,Dehydration
A131,Diarrhea
A131,Lethargy
A131,Loss of Appetite
A136,Coughing
A136,Fever
A136,Labored Breathing
A136,Nasal Discharge
A138,Lethargy
A138,Loss of Appetite
A138,Swollen Joints
A138,Weight Loss
A139,Fever
A139,Loss of Appetite
A139,Nasal Discharge
A139,Weight Loss
A144,Coughing
A144,Fever
A144,Loss of Appetite
A144,Nasal Discharge
A146,Fever
A146,Lethargy
A146,Loss of Appetite
A146,Swollen Joints
A147,Dehydration
A147,Diarrhea
A147,Lethargy
A147,Loss of Appetite
A152,Fever
A152,Lethargy
A152,Loss of Appetite
A152,Weight Loss
A157,Coughing
A157,Fever
A157,Nasal Discharge
A157,Weight Loss
A159,Diarrhea
A159,Lameness
A159,Loss of Appetite
A159,Swollen Joints
A160,Diarrhea
A160,Fever
A160,Loss of Appetite
A160,Vomiting
A165,Coughing
A165,Fever
A165,Lethargy
A165,Nasal Discharge
A167,Coughing
A167,Lethargy
A167,Loss of Appetite
A167,Swollen Joints
A168,Diarrhea
A168,Fever
A168,Loss of Appetite
A168,Vomiting
A173,Coughing
A173,Fever
A173,Lethargy
A173,Loss of Appetite
A175,Lethargy
A175,Loss of Appetite
A175,Nasal Discharge
A175,Swollen Joints
A176,Fever
A176,Lethargy
A176,Loss of Appetite
A176,Vomiting
A181,Coughing
A181,Fever
A181,Lethargy
A181,Nasal Discharge
A186,Coughing
A186,Fever
A186,Lethargy
A186,Loss of Appetite
A188,Coughing
A188,Lethargy
A188,Loss of Appetite
A188,Swollen Joints
A189,Diarrhea
A189,Fever
A189,Loss of Appetite
A189,Vomiting
A194,Coughing
A194,Lethargy
A194,Loss of Appetite
A194,Swollen Legs
A196,Coughing
A196,Lethargy
A196,Loss of Appetite
A196,Swollen Joints
A197,Fever
A197,Lethargy
A197,Loss of Appetite
A197,Vomiting
A202,Coughing
A202,Fever
A202,Lethargy
A202,Loss of Appetite
A204,Coughing
A204,Fever
A204,Lethargy
A204,Loss of Appetite
A205,Diarrhea
A205,Fever
A205,Loss of Appetite
A205,Vomiting
A210,Coughing
A210,Lethargy
A210,Loss of Appetite
A210,Swollen Legs
A214,Coughing
A214,Fever
A214,Lethargy
A214,Loss of Appetite
A216,Coughing
A216,Fever
A216,Lethargy
A216,Loss of Appetite
A217,Diarrhea
A217,Fever
A217,Loss of Appetite
A217,Vomiting
A222,Coughing
A222,Fever
A222,Lethargy
A222,Loss of Appetite
