Animal_Id,Animal_Type,Breed,Age,Weight,sym_Coughing,sym_Decreased Milk Yield,sym_Dehydration,sym_Diarrhea,sym_Fever,sym_Labored Breathing,sym_Lameness,sym_Lethargy,sym_Loss of Appetite,sym_Nasal Discharge,sym_Reduced Wool Production,sym_Swollen Joints,sym_Swollen Legs,sym_Vomiting,sym_Weight Loss,Disease
A3,Cow,Holstein,3,600.0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,Foot and Mouth Disease
A10,Cow,Jersey,4,580.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,Mastitis
A15,Cow,Hereford,5,650.0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,Bovine Respiratory Disease
A21,Cow,Angus,3,590.0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,Mastitis
A25,Cow,Angus,5,700.0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,Bovine Respiratory Disease
A31,Cow,Hereford,3,650.0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,Mastitis
A35,Cow,Holstein,4,580.0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,Johne's Disease
A39,Cow,Jersey,3,620.0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,Salmonellosis
A45,Cow,Angus,6,600.0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,Bovine Respiratory Disease
A49,Cow,Hereford,3,570.0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,Bovine Viral Diarrhea
A53,Cow,Brahman,7,620.0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,Mastitis
A57,Cow,Limousin,2,550.0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,Cryptosporidiosis
A61,Cow,Red Angus,5,620.0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,Bovine Leukemia Virus
A65,Cow,Guernsey,4,590.0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,Coccidiosis
A69,Cow,Jersey,6,600.0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,Bovine Respiratory Syncytial Virus
A75,Cow,Holstein,7,590.0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,Bovine Pneumonia
A79,Cow,Simmental,8,630.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,Johne's Disease
A83,Cow,Shorthorn,5,600.0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,Salmonellosis
A87,Cow,Brahman,3,570.0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,Bovine Respiratory Syncytial Virus
A91,Cow,Jersey,6,620.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,Bovine Tuberculosis
A95,Cow,Brown Swiss,3,580.0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,Coccidiosis
A99,Cow,Guernsey,5,610.0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,Bovine Influenza
A105,Cow,Limousin,6,620.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,Johne's Disease
A107,Sheep,Merino,4,75.0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,Pneumonia
A108,Goat,Boer,5,68.0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,Coccidiosis
A113,Cow,Angus,8,580.0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,Bovine Respiratory Disease
A115,Sheep,Suffolk,3,80.0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,Scrapie
A116,Goat,Alpine,4,72.0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,Caprine Arthritis Encephalitis
A121,Cow,Hereford,7,590.0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,Johne's Disease
A123,Sheep,Dorper,6,65.0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,Pasteurellosis
A124,Goat,Nubian,3,70.0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,Giardiasis
A128,Cow,Jersey,6,570.0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,Bovine Tuberculosis
A130,Sheep,Cheviot,5,85.0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,Foot and Mouth Disease
A131,Goat,Toggenburg,7,65.0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,Coccidiosis
A136,Cow,Brown Swiss,9,600.0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,Bovine Respiratory Disease
A138,Sheep,Romney,6,78.0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,Scrapie
A139,Goat,Kiko,3,75.0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,Caprine Respiratory Disease
A144,Cow,Holstein,7,650.0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,Bovine Tuberculosis
A146,Sheep,Lincoln,8,95.0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,Footrot
A147,Goat,LaMancha,5,72.0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,Gastrointestinal Infection
A152,Cow,Simmental,8,580.0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,Johne's Disease
A157,Cow,Angus,6,550.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,Bovine Respiratory Disease
A159,Sheep,Texel,4,85.0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,Bluetongue
A160,Goat,Alpine,5,72.0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,Caprine Arthritis Encephalitis
A165,Cow,Charolais,5,620.0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,Bovine Tuberculosis
A167,Sheep,Suffolk,6,90.0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Caseous Lymphadenitis
A168,Goat,Boer,3,70.0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,Caprine Pleuropneumonia
A173,Cow,Hereford,7,580.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Johne's Disease
A175,Sheep,Border Leicester,5,90.0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,Chlamydia in Sheep
A176,Goat,Nubian,6,60.0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,Caprine Respiratory Disease
A181,Cow,Jersey,5,500.0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,Bovine Viral Diarrhea
A186,Cow,Holstein,5,620.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Bovine Respiratory Syncytial Virus
A188,Sheep,Finnsheep,4,70.0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Scrapie
A189,Goat,Saanen,5,65.0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,Caprine Pleuropneumonia
A194,Cow,Guernsey,7,590.0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,Bovine Tuberculosis
A196,Sheep,Leicester Longwool,6,95.0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Chlamydia in Sheep
A197,Goat,Nigerian Dwarf,2,55.0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,Caprine Arthritis Encephalitis
A202,Cow,Aberdeen Angus,6,620.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Bovine Respiratory Disease
A204,Sheep,Dorset,3,75.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Foot and Mouth Disease
A205,Goat,Toggenburg,5,60.0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,Caprine Pleuropneumonia
A210,Cow,Ayrshire,4,630.0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,Bovine Tuberculosis
A214,Cow,Jersey,5,560.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Bovine Tuberculosis
A216,Sheep,Suffolk,5,90.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Foot and Mouth Disease
A217,Goat,Boer,6,70.0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,Caprine Arthritis Encephalitis
A222,Cow,Simmental,4,650.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Bovine Respiratory Syncytial Virus
A224,Sheep,Karakul,5,80.0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Scrapie
A225,Goat,Angora,6,60.0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,Caprine Pleuropneumonia
A230,Cow,Dexter,3,450.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Bovine Viral Diarrhea
A232,Sheep,Corriedale,4,95.0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Bluetongue
A233,Goat,Kiko,5,72.0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,Caprine Pleuropneumonia
A238,Cow,Charolais,3,700.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Bovine Tuberculosis
A242,Cow,Holstein,4,700.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Bovine Respiratory Disease
A244,Sheep,Southdown,6,80.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Contagious Ecthyma
A245,Goat,Nubian,4,72.0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,Pneumonia
